,avg_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.8452203005015682,science,me,re,thing,don,question,project,good,ve,people,think,problem,lot,scientist,might,learn,could,something,course,ll
1,-0.9184543940852776,image,network,training,layer,neural,input,deep,neural_network,output,loss,deep_learning,dataset,feature,function,architecture,train,weight,trained,object,size
2,-0.9582821978178261,business,user,team,product,company,customer,system,process,tool,ml,solution,machine_learning,may,science,analytics,scientist,help,ai,problem,decision
3,-0.9697777945187537,function,distribution,probability,point,sample,algorithm,problem,parameter,state,random,matrix,equation,variable,method,given,vector,step,linear,following,above
4,-1.0741130304041806,feature,dataset,regression,prediction,variable,class,training,algorithm,machine_learning,tree,test,performance,method,score,classification,linear,metric,accuracy,decision,error
5,-1.1239939560223684,file,python,run,create,command,project,api,package,following,function,environment,library,notebook,step,app,github,version,application,user,install
6,-1.2206749636009169,function,column,table,method,list,python,plot,row,panda,type,dataset,dataframe,create,object,cluster,line,name,visualization,array,below
7,-1.4362972356852928,ai,human,system,game,world,algorithm,player,intelligence,computer,research,artificial,been,quantum,team,could,his,were,he,artificial_intelligence,bias
8,-1.5140681634572262,test,series,time_series,analysis,average,were,group,year,price,day,effect,rate,show,level,population,trend,over,hypothesis,difference,treatment
9,-1.6181693684810308,word,text,language,graph,node,sentence,topic,document,vector,transformer,task,token,sequence,nlp,embeddings,similarity,attention,embedding,information,user
